Judge,Candidate.Chosen,Candidate.Not.Chosen,Time.Taken,Date.Created
judge1,OLEVE_4024s11qp22_Q_8bii_4,ENGOC_A501-01_Q_5b_6,00:00:37,14/01/2015 14:03
judge1,HONGK_HKG2010CEP2_Q_36_6,IBO_IBOMATSDP2_Q_5b_2,00:00:59,14/01/2015 14:04
judge1,ENGAQ_83002H_Q_19c_3,ENGED_1MA12H_Q_6a_2,00:05:29,14/01/2015 14:10
judge1,IGCSE_0580-42 _Q_9aii_2,ENGED_1MA11H_Q_5a_2,00:00:16,14/01/2015 14:10
judge1,ENGAQ_83002H_Q_16_2,ENGED_1MA12F_Q_9b_2,00:00:21,14/01/2015 14:22
judge1,ENGWJ_4353-02_Q_8b_6,HUNGA_HNGG10BA_Q_11_6,00:00:38,14/01/2015 14:22
judge1,ENGOC_J560-03_Q_14b_5,ONTAR_ONTG9Acad_Q_7_6,00:00:28,14/01/2015 14:23
judge1,IGCSE_0580-22 _Q_13a_4,HUNGA_HNGG10BA_Q_53_4,00:01:32,14/01/2015 14:24
judge1,ENGAQ_43602H_Q_9_2,MASSA_MASG10-P2_Q_31a_1,00:00:52,14/01/2015 14:25
judge1,IGCSE_0580-22 _Q_14c_4,ENGED_1MA12H_Q_8a_2,00:00:21,14/01/2015 14:25
judge1,KOREA_KORG92011_Q_17_2,ENGOC_A503-02_Q_8b_4,00:00:39,14/01/2015 14:26
judge1,HUNGA_HNGG10BA_Q_17_2,ENGOC_A503-02_Q_9a_1,00:00:15,14/01/2015 14:26
judge1,NEWZE_91037_Q_3d_6,ENGAQ_43603H_Q_17_4,00:01:00,14/01/2015 14:27
judge1,NEWZE_91031_Q_3aii_4,ENGAQ_43602H_Q_8a_2,00:01:18,14/01/2015 14:29
judge1,ENGOC_J560-03_Q_8a_2,ENGOC_J560-04_Q_14aii_6,00:00:18,14/01/2015 14:29
judge1,ENGOC_A503-02_Q_11a_2,ENGOC_A503-01-Q_4c_1,00:00:13,14/01/2015 14:29
judge1,SCOTL_SCOSG-CP2_Q_8_4,KOREA_KORG92011_Q_3_2,00:01:24,14/01/2015 14:31
judge1,ENGAQ_83001F_Q_19a_4,ENGED_5MB3F01_Q_4b_1,00:00:12,14/01/2015 14:31
judge1,KOREA_KORG92011_Q_8_1,OLEVE_4024s11qp12_Q_4a_2,00:00:19,14/01/2015 14:31
judge1,ENGAQ_43602H_Q_15b_2,ENGAQ_83002H_Q_19b_3,00:00:15,14/01/2015 14:32
judge1,ENGOC_J560-01_Q_7b_1,ENGED_5MB2F01_Q_10b_4,00:00:21,14/01/2015 14:32
judge1,KOREA_KORG92011_Q_CR3a_4,ENGOC_J560-01_Q_4b_5,00:01:03,14/01/2015 14:33
judge1,ENGED_5MB3H01_Q_7_2,IBO_IBOMATSDP2_Q_2d_1,00:00:53,14/01/2015 14:34
judge1,SCOTL_SCOSG-CP2_Q_13_2,IGCSE_0580-22 _Q_21ai_1,00:00:25,14/01/2015 14:34
judge1,SHANG_ShgQP2011_Q_21a_4,ENGAQ_43603F_Q_5a_4,00:01:05,14/01/2015 14:35
judge1,IGCSE_0580-42 _Q_2cii_4,ENGAQ_83003H_Q_21b_1,00:01:07,14/01/2015 14:37
judge1,ENGAQ_83002H_Q_23a_3,ENGWJ_4351-01_Q_5a_4,00:00:22,14/01/2015 14:37
judge1,ENGOC_J560-02_Q_4c_1,ENGED_1MA11F_Q_1c_1,00:00:09,14/01/2015 14:37
judge1,HONGK_HKG2010CEP2_Q_40_1,ENGOC_J560-06_Q_3ai_2,00:00:08,14/01/2015 14:37
judge1,MASSA_MASG10-P2_Q_42a_4,ENGAQ_83001H_Q_1a_1,00:00:13,14/01/2015 14:38
judge1,ENGWJ_4352-01_Q_8_4,ENGAQ_83001H_Q_6_1,00:00:21,16/01/2015 15:08
judge1,ENGOC_J560-06_Q_8bi_1,ENGED_1MA12H_Q_6c_2,00:01:11,16/01/2015 15:10
judge1,ENGAQ_43602H_Q_4_5,OLEVE_4024s11qp22_Q_7bi_4,00:00:58,16/01/2015 15:11
judge1,ENGOC_J560-04_Q_8aii_2,IGCSE_0580-22 _Q_16a_4,00:01:05,16/01/2015 15:12
judge1,ENGED_1MA13H_Q_14bi_2,OLEVE_4024s11qp12_Q_20a_6,00:00:34,16/01/2015 15:12
judge1,ENGAQ_83002H_Q_19c_3,NETHE_ GT-0153-A-11_Q_13_1,00:00:51,16/01/2015 15:13
judge1,ENGED_5MB3H01_Q_17b_4,OLEVE_4024s11qp12_Q_17c_4,00:00:42,16/01/2015 15:14
judge1,MASSA_MASG10-P2_Q_42a_4,HONGK_HKG2010CEP1_Q_9a_4,00:00:45,16/01/2015 15:15
judge1,ENGAQ_83002H_Q_12_4,NEWZE_91027_Q_1a_2,00:00:13,16/01/2015 15:15
judge1,IGCSE_0580-42 _Q_7a_4,IBO_IBOMATSDP1_Q_3b_1,00:00:56,16/01/2015 15:16
judge1,ENGAQ_43602H_Q_7b_1,HUNGA_HNGG10BA_Q_11_6,00:00:36,16/01/2015 15:16
judge1,ENGAQ_83002F_Q_16_4,ENGOC_A502-02_Q_6b_4,00:00:37,16/01/2015 15:17
judge1,ENGOC_J560-04_Q_14c_6,ENGOC_A501-02_Q_1aii_1,00:00:22,16/01/2015 15:17
judge1,ENGWJ_4351-02_Q_1c_6,IGCSE_0580-22 _Q_19b_2,00:00:44,16/01/2015 15:18
judge1,IGCSE_0580-42 _Q_8bi_4,OLEVE_4024s11qp12_Q_17b_4,00:00:19,16/01/2015 15:18
judge1,ENGOC_A501-02_Q_3a_2,IGCSE_0580-42 _Q_5bi_2,00:00:27,16/01/2015 15:19
judge1,NEWZE_91027_Q_2d_2,HONGK_HKG2010CEP2_Q_3_2,00:00:17,16/01/2015 15:19
judge1,ENGED_1MA13H_Q_6_4,ENGED_5MB1F01_Q_4ai_5,00:00:45,16/01/2015 15:20
judge1,ENGOC_J560-05_Q_13c_6,ENGED_1MA13F_Q_4b_1,00:00:34,16/01/2015 15:21
judge1,OLEVE_4024s11qp12_Q_21b_1,ONTAR_ONTG9Appl_Q_11_1,00:00:48,16/01/2015 15:21
judge1,ENGOC_J560-04_Q_8b_2,ENGOC_J560-02_Q_17b_1,00:00:53,16/01/2015 15:22
judge1,NEWZE_91031_Q_2bi_4,ENGAQ_43602F_Q_1e_1,00:00:30,16/01/2015 15:23
judge1,ENGAQ_83003H_Q_10b_2,ENGOC_J560-01_Q_7b_1,00:00:42,16/01/2015 15:24
judge1,HONGK_HKG2010CEP1_Q_14bii_5,OLEVE_4024s11qp12_Q_1a_1,00:00:31,16/01/2015 15:24
judge1,ENGAQ_83003H_Q_20a_3,ENGED_1MA11F_Q_3a_1,00:00:20,16/01/2015 15:24
